complaint,category,urgency
I wish to report that there is no drinking water facility for attendants at the Gandhi Nagar hospital. Kindly look into the matter.,healthcare,medium
teh Civil Lines ration shop has been closed for two weeks adn no alternate shop was allotted.,ration_aadhar,high
This is to inform the concerned department that the entire Dev Nagar area has had no supply since last night and even the water pumps have stopped. Please inform at your convenience,electricity,high
Our ration card in Ward 12 was cancelled without any notice and the family has no other support. Requesting urgent intervention.,ration_aadhar,high
life saving medicines are not available at Sector 4 centre n patients are told to buy outside. appreciate your help,healthcare,high
requesting that meter reader visit Krishna Colony on weekends so people are at home. appreciate your help.,water_supply,low
"madam ji, please share the grievance officer contact for the Sector 11 area. This was also discussed in our last residents meeting. No hurry, whenever possible",ration_aadhar,low
I want information on the penalty for spitting and littering in Anand Vihar. I am available on my registered mobile number for any verification. Appreciate your help.,sanitation,low
"We are really fed up, the school in Bank Colony has had no water for 20 days and children are being sent home. please do not delay this further.",water_supply,high
This is to inform the concerned department that requesting a water quality test report for the supply given to Bharat Nagar and nobody listens. This has been going on for a while now.,water_supply,low
"Please dhyan dijiye, we filed a complaint about the Nehru Colony transformer humming loudly and nobody has come yet like always. Aap se request hai, dekh lijiye.",electricity,medium
please note water logging near the Dev Nagar supply valve has made it hard to reach during repairs honestly speaking.,water_supply,medium
It is requested to note that requesting a public toilet for the market area in Krishna Colony to be very frank. Please do it urgently if possible.,sanitation,low
"look, an electric pole has snapped in Mill Area and live wires are lying on the footpath",electricity,high
Just want to say that our card in Sector 11 shows a member who left the household years ago.,ration_aadhar,medium
"requesting a camp for Aadhaar updates in the Sector 9 school for parents. no hurry, whenever possible.",ration_aadhar,low
"I would like a duplictae ration card as mine is damaged, I stay in Jawahar Ward. Thank you.",ration_aadhar,low
The drain in Ward 7 is open in one stertch adn smells very bad in the evening.,sanitation,medium
"Respected sir, I want to know the process for requesting a new bus stop in Jawahar Ward. Many residents of the area feel the same way. Awaiting your reply.",roads_transport,low
the dealer in Gandhi Nagar is refusing to give our quota and says the stock is over every time. Koi sunwai nahi ho rahi.,ration_aadhar,high
This is to inform teh concerned department that the bus shelter in Ward 18 has no seating and a leaking roof. I chceked with the neighbours before writing this. Kindly look into the matter.,roads_transport,medium
"sir ji, a patient was bleeding in the MG Road casualty and waited over an hour with no attention. Bahut dikkat ho rahi hai humein.",healthcare,high
just want to say that dust from the unpaved shoulder of the Housing Board Colony road is a daily problem for shopkeepers. would appreciate a quick response.,roads_transport,medium
Lab reports from the Old Market hospital take 10 days when they were promised the same day and nobody listens.,healthcare,medium
"Hi, there is heavy sparking from teh transformer near Mill Area market adn people keep stnading right next to it.",electricity,high
A burst watar pipe has eroded the Ashok Vihar road and a big cavity has formed under the sruface. Someone can get seriuosly hurt,roads_transport,high
Water pressure in Railway Quarters has completely stopped and the summer heat is making it dangerous for elderly people. Please send someone immediately.,water_supply,high
I want information on penalty for spitting n littering in Gandhi Nagar. awaiting your reply.,sanitation,low
the tanker for Sector 5 is scheduled at ten but usually arrives after two even after so many complaints. I have attached nothing but can share photos if needed.,water_supply,medium
The road divider in Nehru Colony is broken and vehicles are coming head on every day as usual. Thanks in advance.,roads_transport,high
Just want to say that the tap water in Lajpat Nagar smells strongly of chemicals since yesterday and nobody listens,water_supply,high
I want information on the penalty for spitting and littering in Bapu Nagar. Puri colony pareshan hai.,sanitation,low
pls share procedure for getting a medical fitness certificate in Rose Garden,healthcare,low
"hi, the MG Road centre has no counselling or information desk for first time visitors and nobody listens. I have already spoken to the local office once. this has been going on for a while now.",healthcare,medium
I want to know the load sanctioned on my connection in Bank Colony.,electricity,low
the drain near Station Road park giving a bad smell for over a month. i am ready to show the spot to your team any time.,sanitation,medium
pls confirm last date of payment for current cycle in Ward 12. I am writing on behalf of a few families in lane. requesting the department to act.,electricity,low
"Bahut pareshani ho rahi hai, a patient was bleeding in the Sector 4 casualty and waited over an hour with no attention.",healthcare,high
"Hi, supply in Subhash Chowk is cut every morning without any prior notice or announcement. this has been going on for a while now.",electricity,medium
"hi, buses do not stop at the Jawahar Ward stop unless the passengers wave repeatedly. kindly look into the matter.",roads_transport,medium
"We are really fed up, requesting a water quality test report for the supply given to Lajpat Nagar.",water_supply,low
Requesting a first aid training session for volunteers in Lajpat Nagar. This has been going on for a while now.,healthcare,low
"hi, requesting that the Rose Garden bus stop be shifted fifty metres for easier access. no hurry, whenever possible.",roads_transport,low
"we are really fed up, requesting a public seating bench near the Lajpat Nagar crossing. please inform at your convenience.",roads_transport,low
"We are really fed up, teh ration shop in Sun City opens only for two hours and closes without notice. We request immediate action before something bad happens.",ration_aadhar,medium
The dealer in Indira Colony behaves rudely with people who ask for the register. I checked with the neighbours before writing this,ration_aadhar,medium
"Respected sir, the Shiv Colony hospital does not display the list of free services anywhere.",healthcare,medium
KINDLY NOTE THAT PLEASE TELL ME THE DOCUMENTS NEEDED FOR A TEMPORARY CONNECTION DURING A FUNCTION IN GANDHI NAGAR. AWAITING YOUR REPLY,electricity,low
"Hello sir, requesting that the Model Town bus stop be shifted fifty metres for easier access. Kindly forward this to the right department if it is not yours. Appreciate your help.",roads_transport,low
"Respected sir, the Model Town road is full of potholes and becomes very difficult during the rains. We have complained earlier as well.",roads_transport,medium
plastic waste is not being segregated at Anand Vihar collection point despite rule,sanitation,medium
A wire has fallen on a parked vehicle in Ashok Vihar and it is sparking every few seconds,electricity,high
PLEASE NOTE DUST FROM THE UNPAVED SHOULDER OF THE TILAK WARD ROAD IS A DAILY PROBLEM FOR SHOPKEEPERS. I AM AVAILABLE ON MY REGISTERED MOBILE NUMBER FOR ANY VERIFICATION. PLEASE LET US KNOW THE ACTION TAKEN.,roads_transport,medium
Load shedding in Bapu Nagar is happening at exam time in the evening and students are suffering. I have attached nothing but can share photos if needed. we have complained earlier as well,electricity,medium
the ration distribution list for MG Road is not put up anywhere for people to check,ration_aadhar,medium
"just want to say that requesting a public toilet for the market area in Rose Garden. no hurry, whenever possible.",sanitation,low
Please note I want to know why a meter testing fee is charged in MG Road and what it covers. Awaiting your reply.,electricity,low
This is to inform the concerned department that please share the procedure for getting a medical fitness certificate in Tilak Ward. Kindly guide me.,healthcare,low
It is requested to note that the blood bank attached to Old Market says the storage unit has not been working properly. We request immediate action before something bad happens,healthcare,high
Requesting information about home composting support for households in Bank Colony to be very frank. Please do it urgently if possible.,sanitation,low
just want to say that the railway crossing gate near Anand Vihar is often left unmanned and people cross recklessly even after so many complaints. please do not delay this further.,roads_transport,high
The dealer in Civil Lines is refusing to give our quota and says the stock is over every time. I am ready to show the spot to your team any time.,ration_aadhar,high
pls note waiting area at Jawahar Ward centre has no fans n patients sit in heat,healthcare,medium
"Respected sir, the cleaning staff at the Sector 5 hospital is not enough for the number of wards honestly speaking.",healthcare,medium
"we are really fed up, I want to know why a meter testing fee is charged in Mill Area and what it covers. The same thing happened last year as well. Appreciate your help.",electricity,low
"bahut pareshani ho rahi hai, the dealer in Housing Board Colony behaves rudely with people who ask for the register. Kindly forward this to the right department if it is not yours.",ration_aadhar,medium
I wish to report that I would like to volunteer for a platnation adn cleaning drive in Housing Board Colony.,sanitation,low
"hello sir, the ration distribution list for Railway Quarters is not put up anywhere for people to check. No hurry, whenever possible.",ration_aadhar,medium
I wish to report that a patient was bleeding in the Anand Vihar casualty and waited over an hour with no attention even after so many complaints. We request immediate action before something bad happens.,healthcare,high
It is requested to note that heavy waterlogging on the Sector 11 underpass traps vehicles every time it rains. Please let us know the action taken,roads_transport,high
just want to say that my address correction request from Sector 5 has been pending for five weeks. Please let us know the action taken.,ration_aadhar,medium
requesting an awareness programme on hygiene in Model Town school. I checked with neighbours before writing this. kindly guide me.,sanitation,low
"bahut pareshani ho rahi hai, cattle waste is not being cleared from the Mill Area road near the dairy. Puri colony pareshan hai.",sanitation,medium
"Sir ji, requesting an awareness programme on hygiene in the Tilak Ward school. Aap se request hai, dekh lijiye",sanitation,low
"hi, the garbage vehicle skips our lane in Green Park about three days a week as usual. I am available on my registered mobile number for any verification. requesting the department to act.",sanitation,medium
pls confirm last date of payment for current cycle in Sector 5 like always. we have complained earlier as well.,electricity,low
This is to inform the concerned department that the X-ray machine at the Shiv Colony hospital has been broken for 2 weeks and accident cases are being shifted even after so many complaints. Someone can get seriously hurt.,healthcare,high
I wish to report that a stretch of the Ashok Vihar road has caved in after the rain and vehicles are falling in. This needs attention today itself.,roads_transport,high
Just want to say that buses on the Patel Nagar route are always late and the stops are in poor condition,roads_transport,medium
Kindly note that the oxygen cylinder at the Shanti Kunj centre was empty when my grandfather was brought in gasping. Requesting urgent intervention.,healthcare,high
The tank on our Sector 5 building is overflowing with dirty water and the motor cannot be switched off. Please do not delay this further.,water_supply,high
there is no lady doctor available at the Tilak Ward centre on most days as usual. we have complained earlier as well.,healthcare,medium
"Respected sir, requesting a drinking water point near the bus stop in Sector 14. This was also discussed in our last residents meeting. Please inform at your convenience.",water_supply,low
The Nehru Colony health centre closes for lunch for two hours without any notice. Please share a complaint number so I can follow up,healthcare,medium
the pipeline in Housing Board Colony is very old n rusty n water tastes metallic again n again,water_supply,medium
I would like to bring to your notice that requesting an awareness programme on hygiene in the Subhash Chowk school. I can be contacted in the evening after work hours. Awaiting your reply.,sanitation,low
I would like to bring to your notice that a deep pothole on the Sun City main road caused a serious accident yesterday evening as usual. Someone can get seriously hurt.,roads_transport,high
"hi, the Subhash Chowk centre staff keeps changing the requirement every visit",ration_aadhar,medium
"hi, heavy waterlogging on the Patel Nagar underpass traps vehicles every time it rains. I am ready to show the spot to your team any time.",roads_transport,high
I would like to bring to your notice that the road sweeping in Jawahar Ward is done at noon when there is heavy traffic.,sanitation,medium
requesting a first aid training session for volunteers in Gandhi Nagar. kindly treat this as an emergency.,healthcare,low
Please share the schedule of the next health camp near Dev Nagar. I am available on my registered mobile number for any verification. Awaiting your reply.,healthcare,low
"we are really fed up, the timetable displayed at the Subhash Chowk bus stop is several years old. we have complained earlier as well.",roads_transport,medium
"Respected sir, I would like infromation about teh monthly bus pass counter near Shanti Kunj. Appreciate your help.",roads_transport,low
Mosquitoes and flies have increased a lot in Ward 12 due to poor cleaning. Requesting the dept to act.,sanitation,medium
requesting a tariff booklet or rate chart for households in Station Road. Kindly forward this to right department if it is not yours,electricity,low
the drain in Model Town is flowing very slowly n needs desilting before rains. Please share a complaint number so I can follow up,sanitation,medium
please note the voltage in Bapu Nagar is so low that neither the fan nor the motor runs properly. I can be contacted in the evening after work hours. Kindly look into the matter.,electricity,medium
"Respected sir, requesting an awareness prorgamme on hgyiene in teh Vivek Vihar school. Thanks in advance.",sanitation,low
"Hi, the side drain along the Sector 11 road is above road level so water stands on the road. Kindly look into the matter.",roads_transport,medium
Kindly inform when the yearly drain cleaning of Housing Board Colony is planned. Kindly treat this as an emergency.,sanitation,low
please note the biometric of an elderly person in Rajiv Nagar never matches and the shop refuses any alternative to be very frank.,ration_aadhar,high
"LOOK, PLEASE SHARE THE TIMINGS OF THE RAILWAY QUARTERS ELECTRICITY OFFICE COUNTER. THIS NEEDS ATTENTION TODAY ITSELF.",electricity,low
Please note requesting a shed over teh waiting area outside teh MG Road centre.,healthcare,low
please note a stretch of the Model Town road has caved in after the rain and vehicles are falling in. I am a regular taxpayer of this ward. Kindly treat this as an emergency.,roads_transport,high
The Ashok Vihar office gave us a bill correction date three times and each time it was postponed. Appreciate your help.,electricity,medium
"Hello sir, dust from the unpaved shoulder of the Milan Vihar road is a daily problem for shopkeepers. Thank you",roads_transport,medium
"Look, the drain near the Gandhi Nagar park has been giving a bad smell for over a month.",sanitation,medium
a stretch of MG Road road has caved in after rain n vehicles are falling in,roads_transport,high
Heavy waterlogging on the Sun City underpass traps vehicles every time it rains.,roads_transport,high
"Bahut pareshani ho rahi hai, a deep pothole on the Ward 7 main sadak caused a serious accident yesterday evening. Kripya ek baar dekh lijiye.",roads_transport,high
"we are really fed up, water supply to the health centre in Shanti Kunj has been cut off and they cannot run the ward. please send someone immediately.",water_supply,high
"we are really fed up, the ration distribution list for Krishna Colony is not put up anywhere for people to check. I am writing on behalf of a few families in the lane.",ration_aadhar,medium
"we are really fed up, requesting a repair estimate for shifting my water line inside the plot in Sun City.",water_supply,low
"Just want to say that please share the list of specialists visiting the Milan Vihar centre and on which days. This was also discussed in our last residents meeting. No hurry, whenever possible.",healthcare,low
"please dhyan dijiye, water is gushing out of a broken valve in Gandhi Nagar and has entered the ground floor houses. Koi sunwai nahi ho rahi.",water_supply,high
Submitting this complaint to inform that an under construction stretch in Ashok Vihar has been left open without any warning boards. This needs attention today itself.,roads_transport,high
It is requested to note that please confirm the office timings of the water works division covering Railway Quarters. Would appreciate a quick response.,water_supply,low
"hi, requesting a repair estimate for shifting my water line inside the plot in Shanti Kunj. I am available on my registered mobile number for any verification.",water_supply,low
"hello sir, the main pipeline has burst in Nehru Colony and the whole road is flooded since morning. someone can get seriously hurt.",water_supply,high
Requesting a repair estimate for shifting my water line inside the plot in Old Market.,water_supply,low
It is requested to note that the community toilet in Railway Quarters has no watar and people are forced to go in teh open and nobody lsitens.,sanitation,high
The dealer in Indira Colony took our card and has not returned it for 2 weeks. Please do not delay this further.,ration_aadhar,high
Buses on the Railway Quarters route are always late and the stops are in poor condition,roads_transport,medium
"Requesting a first aid training session for volunteers in Station Road. I am a regular taxpayer of this ward. Aap se request hai, dekh lijiye.",healthcare,low
I would like to bring to your notice that the tanker for Teachers Colony is scheduled at ten but usually arrives after two. Awaiting your reply.,water_supply,medium
Our complaint about the choked drain in Ashok Vihar has been closed without any work being done. Hoping for a permanent fix this time.,sanitation,medium
"Respected sir, plastic waste is not being segregated at the Shanti Kunj collection point despite the rule. Please arrange a solution soon.",sanitation,medium
"hi, our Rajiv Nagar colony has been without supply for 15 days and the fire hydrant is also dry. kindly guide me.",water_supply,high
"bahut pareshani ho rahi hai, requesting signage in the local language at the Teachers Colony hospital. I have already spoken to the local office once. Aap se request hai, dekh lijiye.",healthcare,low
GARBAGE HAS BEEN DUMPED RIGHT NEXT TO THE DRINKING WATER TANK IN LAJPAT NAGAR AND NOBODY LISTENS. I HAVE ALREADY SPOKEN TO THE LOCAL OFFICE ONCE. I AM READY TO SHOW THE SPOT TO YOUR TEAM ANY TIME.,sanitation,high
The railway crossing gate near Ward 21 is often left unmanned and people cross recklessly. Requesting urgent intervention.,roads_transport,high
"Look, requesting a water quality test report for teh supply given to MG Road. Please share a complient number so I can follow up. No hurry, whneever possible.",water_supply,low
"Please dhyan dijiye, the MG Road hospital does not display the list of free services anywhere even after so many complaints. Kripya jaldi karwa dijiye.",healthcare,medium
plz share the garbage collection timings for Bank Colony. I am a regular taxpayer of this ward.,sanitation,low
"Hi, the drain in Kisan Chowk is completely blocked and dirty water has entered the school compound honestly speaking",sanitation,high
Submitting this complaint to inform that the doctor at the New Basti centre demanded money before attending to an emergency patient. Requesting urgent intervention.,healthcare,high
Please note a dead animal has been lying near the Dev Nagar dump for twelve days and the smell is unbearable. Please inform at your convenience.,sanitation,high
Load shedding in Bapu Nagar is happening at exam time in the evening and students are suffering like always. The same thing happened last year as well. Bahut dikkat ho rahi hai humein.,electricity,medium
